user_id,KC1,KC2,KC3,KC4,KC5,KC6,score_rate,is_test
145,0.042123515,0.005014206,0.01554798,0.23206918,0.025756288,0.12126242,0.09375,True
146,0.0857756,0.01760767,0.015894476,0.40052056,0.026212718,0.059828505,0.125,True
147,0.08370107,0.0041642855,0.0031245502,0.116206884,0.025759347,0.05758278,0.03125,True
148,0.08613348,0.011342944,0.04620024,0.23282565,0.02594267,0.121857755,0.15625,True
149,0.08367783,0.0028872546,0.0030946038,0.11620707,0.025749406,0.057580803,0.03125,True
150,0.0864872,0.01885445,0.04626157,0.40347517,0.026239455,0.12194695,0.1875,True
151,0.16971608,0.018972937,0.046265088,0.4035293,0.026379291,0.121953145,0.21875,True
152,0.08561729,0.010662699,0.016018469,0.23043951,0.026039695,0.060141623,0.125,True
153,0.16711308,0.0031848906,0.00643355,0.117293306,0.025789604,0.11857242,0.09375,True
154,0.31022257,0.0068658665,0.014231895,0.11740345,0.02593072,0.058680147,0.15625,True
155,0.16682877,0.0041866014,0.0031341575,0.11621293,0.025770565,0.057585288,0.0625,True
156,0.08398555,0.0070463144,0.005731824,0.3984193,0.025848284,0.058112986,0.09375,True
157,0.08595508,0.010984035,0.026085187,0.23228505,0.025937175,0.12147263,0.125,True
158,0.0423086,0.007986536,0.013613134,0.40017834,0.025799083,0.05955238,0.09375,True
159,0.085641764,0.01600298,0.026044672,0.40324685,0.025861934,0.12176259,0.15625,True
160,0.1689378,0.007626746,0.016676992,0.120201424,0.025870362,0.12076529,0.125,True
161,0.16682877,0.0041866014,0.0031341575,0.11621293,0.025770565,0.057585288,0.0625,True
162,0.16971183,0.019065648,0.04626626,0.4035283,0.026391158,0.121949606,0.21875,True
163,0.16715382,0.004261199,0.0033316258,0.22748096,0.025932116,0.057732828,0.09375,True
164,0.16680841,0.0041681104,0.0031260094,0.11620744,0.025760382,0.057583194,0.0625,True
165,0.16686544,0.0029167894,0.0031160293,0.11622733,0.025788376,0.057587758,0.0625,True
166,0.084023155,0.0044865813,0.012263592,0.22974913,0.025761927,0.11963921,0.09375,True
167,0.16912153,0.018049771,0.016172573,0.40077326,0.026357895,0.05995636,0.15625,True
168,0.31037134,0.010152517,0.014183687,0.22831845,0.026069518,0.05854552,0.15625,True
169,0.16695215,0.0043013496,0.005235936,0.11632705,0.025772877,0.05769763,0.09375,True
